#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: x
Date: 2022-08-04T05:19:30.574320Z
Institute: SFU
Operator: x
Instrument Type: Smartscope Flash 302
Run Number: 3
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2039	23.2159
H_R2H0_P2	124.2140	25.8702
PB_P1	81.8913	10.5153
PB_P2	122.3778	1.0975
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1218	28.8730	-0.0001
Sensor	1	19.1587	28.0520	0.0009
Sensor	1	29.1197	27.4081	-0.0006
Sensor	1	39.2457	26.9111	-0.0007
Sensor	1	49.2976	26.5896	0.0004
Sensor	1	59.3473	26.4351	0.0010
Sensor	1	69.3881	26.4469	-0.0021
Sensor	1	79.4394	26.6224	-0.0016
Sensor	1	89.4697	26.9662	0.0029
Sensor	1	99.5745	27.4658	0.0013
Sensor	1	109.5838	28.1407	-0.0007
Sensor	1	119.6589	28.9708	-0.0007
ABC_R2H0_0	2	120.0060	24.1975	0.3887
ABC_R2H0_0_A	2	124.2093	25.8651	0.3796
ABC_R2H0_0_B	2	124.5043	23.3321	0.3887
ABC_R2H0_0_C	2	115.7257	22.5414	0.4003
ABC_R2H0_0_D	2	115.5848	25.0512	0.3860
ABC_R2H0_1	2	109.9237	23.3379	0.3996
ABC_R2H0_10	2	18.8274	23.2462	0.4187
ABC_R2H0_10_A	2	23.2453	24.1971	0.4181
ABC_R2H0_10_B	2	23.1466	21.6351	0.4091
ABC_R2H0_10_C	2	14.3342	22.3140	0.4268
ABC_R2H0_10_D	2	14.5835	24.8388	0.4209
ABC_R2H0_11	2	8.7100	24.0692	0.4333
ABC_R2H0_11_A	2	13.1444	24.9572	0.4210
ABC_R2H0_11_B	2	12.9932	22.3649	0.4290
ABC_R2H0_11_C	2	4.1950	23.2039	0.4476
ABC_R2H0_11_D	2	4.5074	25.7507	0.4354
ABC_R2H0_1_A	2	114.1495	24.9440	0.4032
ABC_R2H0_1_B	2	114.4073	22.3818	0.3979
ABC_R2H0_1_C	2	105.6111	21.7498	0.4055
ABC_R2H0_1_D	2	105.5270	24.2762	0.3916
ABC_R2H0_2	2	99.8270	22.6626	0.4018
ABC_R2H0_2_A	2	104.0750	24.1947	0.3987
ABC_R2H0_2_B	2	104.2922	21.6199	0.4128
ABC_R2H0_2_C	2	95.4842	21.1342	0.4054
ABC_R2H0_2_D	2	95.4565	23.7016	0.3902
ABC_R2H0_3	2	89.7266	22.1676	0.4017
ABC_R2H0_3_A	2	93.9906	23.6154	0.4078
ABC_R2H0_3_B	2	94.1881	21.0770	0.4015
ABC_R2H0_3_C	2	85.3619	20.7059	0.4011
ABC_R2H0_3_D	2	85.3657	23.2720	0.3965
ABC_R2H0_4	2	79.6022	21.8137	0.4036
ABC_R2H0_4_A	2	83.9057	23.2090	0.3978
ABC_R2H0_4_B	2	84.0330	20.6090	0.4079
ABC_R2H0_4_C	2	75.2117	20.4347	0.4079
ABC_R2H0_4_D	2	75.2585	23.0019	0.4006
ABC_R2H0_5	2	69.4748	21.6260	0.3981
ABC_R2H0_5_A	2	73.7905	22.9467	0.4041
ABC_R2H0_5_B	2	73.8985	20.3684	0.3998
ABC_R2H0_5_C	2	65.0659	20.3240	0.3953
ABC_R2H0_5_D	2	65.1443	22.8650	0.3931
ABC_R2H0_6	2	59.3498	21.6271	0.4093
ABC_R2H0_6_A	2	63.6923	22.8755	0.4019
ABC_R2H0_6_B	2	63.7506	20.2997	0.4080
ABC_R2H0_6_C	2	54.9184	20.3952	0.4132
ABC_R2H0_6_D	2	55.0379	22.9381	0.4140
ABC_R2H0_7	2	49.2120	21.7723	0.4057
ABC_R2H0_7_A	2	53.5690	22.9524	0.4133
ABC_R2H0_7_B	2	53.5839	20.3577	0.3990
ABC_R2H0_7_C	2	44.7607	20.6190	0.4075
ABC_R2H0_7_D	2	44.9344	23.1600	0.4030
ABC_R2H0_8	2	39.0817	22.0951	0.4106
ABC_R2H0_8_A	2	43.4624	23.1966	0.4171
ABC_R2H0_8_B	2	43.4337	20.6200	0.4136
ABC_R2H0_8_C	2	34.6140	21.0166	0.4106
ABC_R2H0_8_D	2	34.8167	23.5470	0.4010
ABC_R2H0_9	2	28.9576	22.5854	0.4123
ABC_R2H0_9_A	2	33.3578	23.6159	0.4014
ABC_R2H0_9_B	2	33.2769	21.0510	0.4095
ABC_R2H0_9_C	2	24.4755	21.5716	0.4233
ABC_R2H0_9_D	2	24.7200	24.1033	0.4152
HCC_R2H0_2	2	22.6134	7.0068	0.4314
HCC_R2H0_2_A	2	25.3964	9.4202	0.4143
HCC_R2H0_2_B	2	25.6979	4.7994	0.4360
HCC_R2H0_2_C	2	19.7307	4.6640	0.4540
HCC_R2H0_2_D	2	19.6288	9.1436	0.4214
HCC_R2H0_3	2	12.2309	11.6073	0.4315
HCC_R2H0_3_A	2	15.0284	14.0087	0.4282
HCC_R2H0_3_B	2	15.3165	9.4053	0.4259
HCC_R2H0_3_C	2	9.3319	9.2704	0.4346
HCC_R2H0_3_D	2	9.2468	13.7446	0.4374
H_R2H0_0	2	2.8981	10.6270	0.4234
H_R2H0_0_A	2	2.6186	8.2787	0.4337
H_R2H0_0_B	2	2.8576	9.7546	0.4257
H_R2H0_0_C	2	2.9345	10.9936	0.4205
H_R2H0_0_D	2	3.1815	13.4813	0.4138
H_R2H0_1	2	87.5196	12.8047	0.4598
H_R2H0_1_A	2	83.8990	12.6436	0.4571
H_R2H0_1_B	2	87.1390	12.7912	0.4575
H_R2H0_1_C	2	87.9148	12.8191	0.4626
H_R2H0_1_D	2	91.1256	12.9649	0.4618
H_R2H0_2	2	117.8031	16.3737	0.4274
H_R2H0_2_A	2	115.0156	15.9774	0.4429
H_R2H0_2_B	2	115.6214	16.7354	0.4245
H_R2H0_2_C	2	119.9847	16.0079	0.4196
H_R2H0_2_D	2	120.5907	16.7739	0.4227
PB_1	2	123.4696	5.6671	0.4340
PB_1_A	2	123.5928	1.4281	0.5136
PB_1_B	2	123.5901	1.4345	0.5154
PB_1_C	2	123.2624	7.0947	0.4135
PB_1_D	2	123.4330	12.7110	0.2933
PB_2	2	109.6853	11.8199	0.2903
PB_3	2	87.1057	10.4299	0.4950
PB_3_A	2	83.2135	10.1672	0.4984
PB_3_B	2	86.7245	10.4515	0.5164
PB_3_C	2	87.6800	10.4883	0.5014
PB_3_D	2	90.8048	10.6128	0.4638
PB_4	2	85.8706	1.3830	0.5792
PB_4_A	2	86.9730	3.9540	0.5445
PB_4_B	2	87.4070	-1.0161	0.5802
PB_4_C	2	84.6600	-1.1925	0.5959
PB_4_D	2	84.4426	3.7864	0.5963
PB_5	2	60.2914	2.8900	0.5314
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1036	5.7790	2.9126
C2	4	117.8777	9.2522	2.8526
C3	4	104.0010	10.0116	2.9063
C4	4	104.4870	1.4827	3.0013
Shield_A	4	63.1631	-1.4187	5.6782
Shield_B	4	68.5369	-0.9524	5.6290
Shield_C	4	76.5576	-0.8340	5.7100
Shield_D	4	63.0873	5.5451	5.6109
Shield_E	4	72.1002	5.7272	5.4421
Shield_F	4	76.5966	5.2825	5.5536
