#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: x
Date: 2022-08-04T05:19:34.888589Z
Institute: SFU
Operator: x
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2035	23.2158
H_R2H0_P2	124.2127	25.8700
PB_P1	81.8902	10.5152
PB_P2	122.3770	1.0973
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1207	28.8727	0.0010
Sensor	1	19.1585	28.0534	0.0008
Sensor	1	29.1189	27.4095	-0.0014
Sensor	1	39.2446	26.9123	-0.0017
Sensor	1	49.2947	26.5914	0.0001
Sensor	1	59.3456	26.4355	0.0004
Sensor	1	69.3877	26.4469	-0.0011
Sensor	1	79.4385	26.6220	0.0014
Sensor	1	89.4703	26.9659	0.0019
Sensor	1	99.5739	27.4657	-0.0002
Sensor	1	109.5836	28.1415	-0.0002
Sensor	1	119.6605	28.9727	-0.0009
ABC_R2H0_0	2	120.0108	24.1931	0.3875
ABC_R2H0_0_A	2	124.2142	25.8597	0.3793
ABC_R2H0_0_B	2	124.5084	23.3277	0.3911
ABC_R2H0_0_C	2	115.7302	22.5381	0.3966
ABC_R2H0_0_D	2	115.5903	25.0470	0.3831
ABC_R2H0_1	2	109.9287	23.3325	0.3957
ABC_R2H0_10	2	18.8313	23.2400	0.4193
ABC_R2H0_10_A	2	23.2484	24.1908	0.4159
ABC_R2H0_10_B	2	23.1504	21.6277	0.4206
ABC_R2H0_10_C	2	14.3374	22.3075	0.4251
ABC_R2H0_10_D	2	14.5890	24.8342	0.4157
ABC_R2H0_11	2	8.7147	24.0627	0.4327
ABC_R2H0_11_A	2	13.1501	24.9507	0.4272
ABC_R2H0_11_B	2	12.9969	22.3593	0.4273
ABC_R2H0_11_C	2	4.1987	23.1979	0.4342
ABC_R2H0_11_D	2	4.5132	25.7430	0.4420
ABC_R2H0_1_A	2	114.1523	24.9362	0.3954
ABC_R2H0_1_B	2	114.4129	22.3767	0.3985
ABC_R2H0_1_C	2	105.6171	21.7468	0.3987
ABC_R2H0_1_D	2	105.5324	24.2703	0.3901
ABC_R2H0_2	2	99.8336	22.6579	0.3995
ABC_R2H0_2_A	2	104.0811	24.1894	0.3923
ABC_R2H0_2_B	2	104.2984	21.6156	0.4039
ABC_R2H0_2_C	2	95.4925	21.1296	0.3984
ABC_R2H0_2_D	2	95.4626	23.6969	0.4034
ABC_R2H0_3	2	89.7317	22.1629	0.4024
ABC_R2H0_3_A	2	93.9964	23.6107	0.4055
ABC_R2H0_3_B	2	94.1922	21.0720	0.4015
ABC_R2H0_3_C	2	85.3673	20.7000	0.4036
ABC_R2H0_3_D	2	85.3708	23.2689	0.3989
ABC_R2H0_4	2	79.6064	21.8087	0.4031
ABC_R2H0_4_A	2	83.9108	23.2036	0.3969
ABC_R2H0_4_B	2	84.0378	20.6033	0.4043
ABC_R2H0_4_C	2	75.2147	20.4308	0.4085
ABC_R2H0_4_D	2	75.2623	22.9970	0.4028
ABC_R2H0_5	2	69.4788	21.6198	0.4035
ABC_R2H0_5_A	2	73.7939	22.9407	0.3998
ABC_R2H0_5_B	2	73.9036	20.3605	0.4094
ABC_R2H0_5_C	2	65.0698	20.3193	0.4095
ABC_R2H0_5_D	2	65.1478	22.8588	0.3953
ABC_R2H0_6	2	59.3550	21.6221	0.4052
ABC_R2H0_6_A	2	63.6965	22.8704	0.4003
ABC_R2H0_6_B	2	63.7546	20.2946	0.4065
ABC_R2H0_6_C	2	54.9246	20.3879	0.4098
ABC_R2H0_6_D	2	55.0442	22.9357	0.4042
ABC_R2H0_7	2	49.2186	21.7648	0.3997
ABC_R2H0_7_A	2	53.5744	22.9456	0.4007
ABC_R2H0_7_B	2	53.5913	20.3489	0.3969
ABC_R2H0_7_C	2	44.7673	20.6129	0.3964
ABC_R2H0_7_D	2	44.9416	23.1517	0.4046
ABC_R2H0_8	2	39.0878	22.0897	0.4080
ABC_R2H0_8_A	2	43.4684	23.1905	0.4112
ABC_R2H0_8_B	2	43.4401	20.6152	0.4087
ABC_R2H0_8_C	2	34.6203	21.0110	0.4103
ABC_R2H0_8_D	2	34.8223	23.5422	0.4018
ABC_R2H0_9	2	28.9645	22.5801	0.4104
ABC_R2H0_9_A	2	33.3626	23.6098	0.4028
ABC_R2H0_9_B	2	33.2825	21.0453	0.4041
ABC_R2H0_9_C	2	24.4806	21.5659	0.4209
ABC_R2H0_9_D	2	24.7325	24.0992	0.4138
HCC_R2H0_2	2	22.6191	6.9999	0.4325
HCC_R2H0_2_A	2	25.4040	9.4158	0.4186
HCC_R2H0_2_B	2	25.7033	4.7915	0.4350
HCC_R2H0_2_C	2	19.7357	4.6582	0.4453
HCC_R2H0_2_D	2	19.6332	9.1342	0.4312
HCC_R2H0_3	2	12.2370	11.6007	0.4231
HCC_R2H0_3_A	2	15.0347	14.0027	0.4170
HCC_R2H0_3_B	2	15.3222	9.3998	0.4197
HCC_R2H0_3_C	2	9.3375	9.2636	0.4343
HCC_R2H0_3_D	2	9.2539	13.7367	0.4212
H_R2H0_0	2	2.9040	10.6205	0.4166
H_R2H0_0_A	2	2.6229	8.2736	0.4288
H_R2H0_0_B	2	2.8638	9.7489	0.4171
H_R2H0_0_C	2	2.9416	10.9845	0.4079
H_R2H0_0_D	2	3.1877	13.4750	0.4124
H_R2H0_1	2	87.5250	12.7992	0.4538
H_R2H0_1_A	2	83.9045	12.6367	0.4524
H_R2H0_1_B	2	87.1439	12.7873	0.4626
H_R2H0_1_C	2	87.9198	12.8138	0.4557
H_R2H0_1_D	2	91.1316	12.9590	0.4446
H_R2H0_2	2	117.8090	16.3689	0.4143
H_R2H0_2_A	2	115.0215	15.9725	0.4149
H_R2H0_2_B	2	115.6263	16.7311	0.4126
H_R2H0_2_C	2	119.9905	16.0029	0.4225
H_R2H0_2_D	2	120.5976	16.7690	0.4073
PB_1	2	123.4638	5.6661	0.4289
PB_1_A	2	123.5879	1.4259	0.5088
PB_1_B	2	123.5806	1.4327	0.5039
PB_1_C	2	123.2594	7.0936	0.4162
PB_1_D	2	123.4274	12.7123	0.2867
PB_2	2	109.6796	11.8161	0.2857
PB_3	2	87.1003	10.4259	0.4928
PB_3_A	2	83.2068	10.1633	0.4934
PB_3_B	2	86.7204	10.4476	0.5143
PB_3_C	2	87.6738	10.4846	0.5039
PB_3_D	2	90.8002	10.6081	0.4595
PB_4	2	85.8659	1.3793	0.5594
PB_4_A	2	86.9671	3.9502	0.5421
PB_4_B	2	87.4027	-1.0194	0.5572
PB_4_C	2	84.6559	-1.1954	0.5685
PB_4_D	2	84.4379	3.7820	0.5700
PB_5	2	60.2855	2.8831	0.5179
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.0994	5.7767	2.9093
C2	4	117.8714	9.2522	2.8607
C3	4	103.9941	10.0085	2.9123
C4	4	104.4815	1.4799	2.9952
Shield_A	4	63.1572	-1.4219	5.6733
Shield_B	4	68.5341	-0.9579	5.6356
Shield_C	4	76.5514	-0.8391	5.7163
Shield_D	4	63.0804	5.5396	5.6035
Shield_E	4	72.0941	5.7227	5.4364
Shield_F	4	76.5893	5.2781	5.5443
