#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:29.040762Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 6
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2028	23.2193
H_R2H0_P2	124.2168	25.8684
PB_P1	81.9135	10.4849
PB_P2	122.2822	1.1439
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1006	28.8778	-0.0023
Sensor	1	19.1282	28.0557	-0.0001
Sensor	1	29.1679	27.4028	0.0015
Sensor	1	39.2149	26.9144	0.0031
Sensor	1	49.2681	26.5928	0.0014
Sensor	1	59.3276	26.4366	0.0018
Sensor	1	69.3871	26.4471	-0.0062
Sensor	1	79.4449	26.6221	-0.0005
Sensor	1	89.4982	26.9617	0.0005
Sensor	1	99.5450	27.4694	-0.0022
Sensor	1	109.5821	28.1404	0.0030
Sensor	1	119.6084	28.9771	-0.0001
ABC_R2H0_0	2	119.9996	24.1915	0.3775
ABC_R2H0_0_A	2	124.2045	25.8578	0.3670
ABC_R2H0_0_B	2	124.4971	23.3260	0.3821
ABC_R2H0_0_C	2	115.7191	22.5369	0.3863
ABC_R2H0_0_D	2	115.5776	25.0453	0.3746
ABC_R2H0_1	2	109.9158	23.3304	0.3899
ABC_R2H0_10	2	18.8203	23.2429	0.4066
ABC_R2H0_10_A	2	23.2376	24.1939	0.4000
ABC_R2H0_10_B	2	23.1399	21.6320	0.4101
ABC_R2H0_10_C	2	14.3263	22.3111	0.4151
ABC_R2H0_10_D	2	14.5771	24.8345	0.4010
ABC_R2H0_11	2	8.7028	24.0660	0.4170
ABC_R2H0_11_A	2	13.1392	24.9540	0.4053
ABC_R2H0_11_B	2	12.9849	22.3619	0.4141
ABC_R2H0_11_C	2	4.1891	23.2010	0.4315
ABC_R2H0_11_D	2	4.4981	25.7471	0.4168
ABC_R2H0_1_A	2	114.1406	24.9340	0.3837
ABC_R2H0_1_B	2	114.4008	22.3743	0.3870
ABC_R2H0_1_C	2	105.6029	21.7437	0.4013
ABC_R2H0_1_D	2	105.5190	24.2697	0.3873
ABC_R2H0_2	2	99.8206	22.6569	0.3952
ABC_R2H0_2_A	2	104.0688	24.1883	0.3949
ABC_R2H0_2_B	2	104.2854	21.6138	0.3971
ABC_R2H0_2_C	2	95.4788	21.1290	0.3993
ABC_R2H0_2_D	2	95.4494	23.6967	0.3897
ABC_R2H0_3	2	89.7189	22.1618	0.3993
ABC_R2H0_3_A	2	93.9834	23.6094	0.3971
ABC_R2H0_3_B	2	94.1798	21.0710	0.4031
ABC_R2H0_3_C	2	85.3541	20.6993	0.4054
ABC_R2H0_3_D	2	85.3582	23.2674	0.3914
ABC_R2H0_4	2	79.5953	21.8081	0.3990
ABC_R2H0_4_A	2	83.8984	23.2041	0.3956
ABC_R2H0_4_B	2	84.0271	20.6030	0.4038
ABC_R2H0_4_C	2	75.2048	20.4300	0.4052
ABC_R2H0_4_D	2	75.2510	22.9954	0.3916
ABC_R2H0_5	2	69.4676	21.6200	0.3964
ABC_R2H0_5_A	2	73.7827	22.9413	0.3962
ABC_R2H0_5_B	2	73.8908	20.3610	0.4013
ABC_R2H0_5_C	2	65.0607	20.3197	0.4014
ABC_R2H0_5_D	2	65.1360	22.8582	0.3865
ABC_R2H0_6	2	59.3430	21.6238	0.3953
ABC_R2H0_6_A	2	63.6850	22.8712	0.3932
ABC_R2H0_6_B	2	63.7422	20.2963	0.3952
ABC_R2H0_6_C	2	54.9130	20.3904	0.4019
ABC_R2H0_6_D	2	55.0319	22.9374	0.3907
ABC_R2H0_7	2	49.2058	21.7674	0.3921
