#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: newscript
Date: 2022-09-09T06:38:41.637639Z
Institute: TRIUMF
Operator: a
Instrument Type: Mitutoyo CMM
Run Number: 5
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2002	23.2150
H_R2H0_P2	124.2131	25.8690
PB_P1	81.8900	10.5145
PB_P2	122.3773	1.0965
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2080	29.7305	0.0011
Sensor	1	119.7511	29.8584	-0.0011
Sensor	1	0.2948	0.1592	-0.0010
Sensor	1	127.2918	0.1763	0.0010
ABC_R2H0_0	2	124.2038	25.8650	0.3570
ABC_R2H0_1	2	114.1392	24.9381	0.3711
ABC_R2H0_2	2	104.0678	24.1917	0.3765
ABC_R2H0_3	2	93.9823	23.6121	0.3823
ABC_R2H0_4	2	83.8967	23.2061	0.3819
ABC_R2H0_5	2	73.7804	22.9431	0.3794
ABC_R2H0_6	2	63.6832	22.8714	0.3810
ABC_R2H0_7	2	53.5615	22.9489	0.3839
ABC_R2H0_8	2	43.4540	23.1919	0.3859
ABC_R2H0_9	2	33.3490	23.6105	0.3851
ABC_R2H0_10	2	23.2366	24.1915	0.3836
ABC_R2H0_11	2	13.1377	24.9511	0.3949
HCC_R2H0_2	2	25.4808	9.4173	0.3598
HCC_R2H0_3	2	15.0947	13.9987	0.3699
H_R2H0_0	2	2.5411	8.2768	0.3620
H_R2H0_1	2	83.8907	12.6392	0.4108
H_R2H0_2	2	115.1740	16.1910	0.3785
PB_1	2	123.5940	1.4326	0.4303
PB_2	2	109.6863	11.8196	0.2444
PB_3	2	83.2127	10.1810	0.4448
PB_4	2	86.9734	3.9515	0.4823
PB_5	2	60.2928	2.8828	0.4603
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1107	5.7802	2.8389
C2	4	117.8790	9.2527	2.7843
C3	4	104.0026	10.0116	2.8476
C4	4	104.4890	1.4823	2.9152
Shield	4	63.1661	-1.4221	5.5964
Shield	4	68.5396	-0.9564	5.5499
Shield	4	76.5600	-0.8369	5.6315
Shield	4	63.0885	5.5414	5.5494
Shield	4	72.1019	5.7236	5.3831
Shield	4	76.5995	5.2794	5.4936
