#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-09-09T06:38:41.637639Z
Institute: SFU
Operator: Archa Rajagopalan
Instrument Type: Smartscope Flash 302
Run Number: 5
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2002	23.2150
H_R2H0_P2	124.2131	25.8690
PB_P1	81.8900	10.5145
PB_P2	122.3773	1.0965
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2080	29.7305	0.0011
Sensor	1	119.7511	29.8584	-0.0011
Sensor	1	0.2948	0.1592	-0.0010
Sensor	1	127.2918	0.1763	0.0010
ABC_R2H0_0	2	120.0064	24.1921	0.3629
ABC_R2H0_0_A	2	124.2038	25.8650	0.3570
ABC_R2H0_0_B	2	124.5298	23.3146	0.3601
ABC_R2H0_0_C	2	115.7162	22.5402	0.3658
ABC_R2H0_0_D	2	115.5757	25.0488	0.3687
ABC_R2H0_1	2	109.9149	23.3348	0.3721
ABC_R2H0_10	2	18.8190	23.2409	0.3856
ABC_R2H0_10_A	2	23.2366	24.1915	0.3836
ABC_R2H0_10_B	2	23.1380	21.6297	0.3837
ABC_R2H0_10_C	2	14.3257	22.3075	0.3856
ABC_R2H0_10_D	2	14.5757	24.8349	0.3895
ABC_R2H0_11	2	8.7006	24.0666	0.4029
ABC_R2H0_11_A	2	13.1377	24.9511	0.3949
ABC_R2H0_11_B	2	12.9829	22.3694	0.3927
ABC_R2H0_11_C	2	4.1893	23.1982	0.4100
ABC_R2H0_11_D	2	4.4924	25.7475	0.4142
ABC_R2H0_1_A	2	114.1392	24.9381	0.3711
ABC_R2H0_1_B	2	114.3997	22.3788	0.3680
ABC_R2H0_1_C	2	105.6024	21.7482	0.3746
ABC_R2H0_1_D	2	105.5182	24.2740	0.3746
ABC_R2H0_2	2	99.8198	22.6602	0.3779
ABC_R2H0_2_A	2	104.0678	24.1917	0.3765
ABC_R2H0_2_B	2	104.2851	21.6183	0.3761
ABC_R2H0_2_C	2	95.4778	21.1317	0.3783
ABC_R2H0_2_D	2	95.4485	23.6991	0.3808
ABC_R2H0_3	2	89.7177	22.1641	0.3817
ABC_R2H0_3_A	2	93.9823	23.6121	0.3823
ABC_R2H0_3_B	2	94.1791	21.0725	0.3804
ABC_R2H0_3_C	2	85.3527	20.7014	0.3799
ABC_R2H0_3_D	2	85.3568	23.2702	0.3842
ABC_R2H0_4	2	79.5938	21.8102	0.3791
ABC_R2H0_4_A	2	83.8967	23.2061	0.3819
ABC_R2H0_4_B	2	84.0250	20.6035	0.3792
ABC_R2H0_4_C	2	75.2036	20.4318	0.3768
ABC_R2H0_4_D	2	75.2497	22.9995	0.3785
ABC_R2H0_5	2	69.4661	21.6227	0.3791
ABC_R2H0_5_A	2	73.7804	22.9431	0.3794
ABC_R2H0_5_B	2	73.8900	20.3652	0.3778
ABC_R2H0_5_C	2	65.0587	20.3204	0.3777
ABC_R2H0_5_D	2	65.1353	22.8622	0.3814
ABC_R2H0_6	2	59.3417	21.6233	0.3801
ABC_R2H0_6_A	2	63.6832	22.8714	0.3810
ABC_R2H0_6_B	2	63.7414	20.2964	0.3758
ABC_R2H0_6_C	2	54.9118	20.3894	0.3796
ABC_R2H0_6_D	2	55.0304	22.9361	0.3840
ABC_R2H0_7	2	49.2056	21.7671	0.3830
ABC_R2H0_7_A	2	53.5615	22.9489	0.3839
ABC_R2H0_7_B	2	53.5791	20.3513	0.3806
ABC_R2H0_7_C	2	44.7540	20.6147	0.3816
ABC_R2H0_7_D	2	44.9279	23.1533	0.3858
ABC_R2H0_8	2	39.0740	22.0900	0.3829
ABC_R2H0_8_A	2	43.4540	23.1919	0.3859
ABC_R2H0_8_B	2	43.4262	20.6150	0.3796
ABC_R2H0_8_C	2	34.6067	21.0116	0.3807
ABC_R2H0_8_D	2	34.8090	23.5415	0.3855
ABC_R2H0_9	2	28.9496	22.5805	0.3854
ABC_R2H0_9_A	2	33.3490	23.6105	0.3851
ABC_R2H0_9_B	2	33.2701	21.0451	0.3827
ABC_R2H0_9_C	2	24.4646	21.5667	0.3861
ABC_R2H0_9_D	2	24.7148	24.0999	0.3879
HCC_R2H0_2	2	22.6438	7.0030	0.3647
HCC_R2H0_2_A	2	25.4808	9.4173	0.3598
HCC_R2H0_2_B	2	25.6921	4.7931	0.3613
HCC_R2H0_2_C	2	19.7691	4.6514	0.3748
HCC_R2H0_2_D	2	19.6332	9.1504	0.3629
HCC_R2H0_3	2	12.2685	11.6046	0.3711
HCC_R2H0_3_A	2	15.0947	13.9987	0.3699
HCC_R2H0_3_B	2	15.3088	9.4012	0.3675
HCC_R2H0_3_C	2	9.4180	9.2554	0.3725
HCC_R2H0_3_D	2	9.2528	13.7631	0.3745
H_R2H0_0	2	2.7638	10.6473	0.3551
H_R2H0_0_A	2	2.5411	8.2768	0.3620
H_R2H0_0_B	2	2.6262	9.7825	0.3558
H_R2H0_0_C	2	2.7525	11.0245	0.3519
H_R2H0_0_D	2	3.1355	13.5054	0.3507
H_R2H0_1	2	87.5117	12.7984	0.4102
H_R2H0_1_A	2	83.8907	12.6392	0.4108
H_R2H0_1_B	2	87.1318	12.7765	0.4138
H_R2H0_1_C	2	87.9070	12.8162	0.4124
H_R2H0_1_D	2	91.1175	12.9618	0.4036
H_R2H0_2	2	117.8085	16.3997	0.3736
H_R2H0_2_A	2	115.1740	16.1910	0.3785
H_R2H0_2_B	2	115.5588	16.6211	0.3742
H_R2H0_2_C	2	120.0078	16.1183	0.3728
H_R2H0_2_D	2	120.4936	16.6684	0.3687
PB_1	2	123.4702	5.6695	0.3603
PB_1_A	2	123.5940	1.4326	0.4303
PB_1_B	2	123.5912	1.4330	0.4322
PB_1_C	2	123.2617	7.0990	0.3505
PB_1_D	2	123.4340	12.7132	0.2281
