#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:26.487240Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 5
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2020	23.2199
H_R2H0_P2	124.2156	25.8687
PB_P1	81.9130	10.4853
PB_P2	122.3616	1.0941
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1003	28.8740	-0.0018
Sensor	1	19.1283	28.0564	0.0008
Sensor	1	29.1669	27.4018	0.0017
Sensor	1	39.2109	26.9144	0.0024
Sensor	1	49.2695	26.5932	-0.0019
Sensor	1	59.3287	26.4362	-0.0008
Sensor	1	69.3879	26.4474	-0.0005
Sensor	1	79.4447	26.6214	-0.0020
Sensor	1	89.4986	26.9617	0.0013
Sensor	1	99.5453	27.4685	0.0008
Sensor	1	109.5824	28.1405	0.0008
Sensor	1	119.6083	28.9772	-0.0007
ABC_R2H0_0	2	120.0108	24.2029	0.3785
ABC_R2H0_0_A	2	124.2154	25.8699	0.3697
ABC_R2H0_0_B	2	124.5080	23.3383	0.3829
ABC_R2H0_0_C	2	115.7300	22.5483	0.3859
ABC_R2H0_0_D	2	115.5898	25.0550	0.3756
ABC_R2H0_1	2	109.9279	23.3412	0.3911
ABC_R2H0_10	2	18.8314	23.2420	0.4014
ABC_R2H0_10_A	2	23.2506	24.1933	0.3896
ABC_R2H0_10_B	2	23.1500	21.6318	0.4068
ABC_R2H0_10_C	2	14.3383	22.3097	0.4095
ABC_R2H0_10_D	2	14.5866	24.8333	0.3997
ABC_R2H0_11	2	8.7138	24.0635	0.4161
ABC_R2H0_11_A	2	13.1484	24.9527	0.4055
ABC_R2H0_11_B	2	12.9970	22.3592	0.4128
ABC_R2H0_11_C	2	4.1993	23.1985	0.4293
ABC_R2H0_11_D	2	4.5103	25.7437	0.4168
ABC_R2H0_1_A	2	114.1516	24.9450	0.3809
