#---Header
EC or Barrel: EC
Module type: R1
Module ref. Number: 20USEM10000008
Date: 2022-07-12T17:41:01.088768Z
Institute: SFU
Operator: Peter Speers
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
ABC_R1H1_5_B	2	53.4136	20.5031	0.3744
ABC_R1H1_5_C	2	62.1718	20.4643	0.3723
ABC_R1H1_5_D	2	62.1375	17.9205	0.3787
ABC_R1H1_6	2	67.7438	19.3112	0.3756
ABC_R1H1_6_A	2	63.3982	17.9429	0.3798
ABC_R1H1_6_B	2	63.3338	20.5246	0.3698
ABC_R1H1_6_C	2	72.1022	20.6710	0.3731
ABC_R1H1_6_D	2	72.1412	18.1064	0.3798
ABC_R1H1_7	2	77.6907	19.5921	0.3752
ABC_R1H1_7_A	2	73.3718	18.1612	0.3823
ABC_R1H1_7_B	2	73.2605	20.7334	0.3722
ABC_R1H1_7_C	2	82.0205	21.0225	0.3719
ABC_R1H1_7_D	2	82.1099	18.4515	0.3746
ABC_R1H1_8	2	87.6192	20.0436	0.3737
ABC_R1H1_8_A	2	83.3303	18.5337	0.3764
ABC_R1H1_8_B	2	83.1749	21.0988	0.3743
ABC_R1H1_8_C	2	91.9277	21.5458	0.3704
ABC_R1H1_8_D	2	92.0440	18.9959	0.3740
ABC_R1H1_9	2	97.5469	20.6775	0.3712
ABC_R1H1_9_A	2	93.2955	19.0906	0.3772
ABC_R1H1_9_B	2	93.0839	21.6487	0.3709
ABC_R1H1_9_C	2	101.8287	22.2605	0.3642
ABC_R1H1_9_D	2	101.9794	19.7100	0.3726
HCC_R1H0_4	2	16.2274	47.0834	0.3692
HCC_R1H0_4_A	2	19.0402	49.4655	0.3627
HCC_R1H0_4_B	2	19.2854	44.8760	0.3762
HCC_R1H0_4_C	2	13.3609	44.7395	0.3744
HCC_R1H0_4_D	2	13.2232	49.2528	0.3635
HCC_R1H1_5	2	14.5397	32.8440	0.3511
HCC_R1H1_5_A	2	17.3586	35.2371	0.3288
HCC_R1H1_5_B	2	17.5767	30.6543	0.3494
HCC_R1H1_5_C	2	11.6883	30.4999	0.3670
HCC_R1H1_5_D	2	11.5355	34.9848	0.3592
H_R1H0_0	2	6.9930	46.5849	0.3318
H_R1H0_0_A	2	6.7607	44.7210	0.3231
H_R1H0_0_B	2	6.9136	45.9406	0.3286
H_R1H0_0_C	2	7.0719	47.2223	0.3363
H_R1H0_0_D	2	7.2257	48.4557	0.3394
H_R1H0_1	2	75.9678	47.8323	0.4188
H_R1H0_1_A	2	79.6195	48.0053	0.3972
H_R1H0_1_B	2	76.3059	47.8215	0.4274
H_R1H0_1_C	2	75.6494	47.8263	0.4297
H_R1H0_1_D	2	72.2965	47.6761	0.4208
H_R1H0_2	2	103.5728	50.1099	0.4481
H_R1H0_2_A	2	105.9976	50.5943	0.4808
H_R1H0_2_B	2	105.3745	49.9574	0.4247
H_R1H0_2_C	2	101.8004	50.3091	0.4520
H_R1H0_2_D	2	101.1187	49.5789	0.4349
H_R1H1_0	2	5.3852	33.7895	0.3060
H_R1H1_0_A	2	5.6175	35.6584	0.2993
H_R1H1_0_B	2	5.4583	34.3906	0.3060
H_R1H1_0_C	2	5.3092	33.1713	0.3089
H_R1H1_0_D	2	5.1555	31.9374	0.3098
H_R1H1_1	2	77.0733	29.4287	0.3696
H_R1H1_1_A	2	80.7586	29.5735	0.3616
H_R1H1_1_B	2	77.4248	29.4440	0.3701
H_R1H1_1_C	2	76.7504	29.4056	0.3711
H_R1H1_1_D	2	73.3593	29.2916	0.3754
H_R1H1_2	2	106.4612	30.6621	0.3826
H_R1H1_2_A	2	108.6386	30.9389	0.3817
H_R1H1_2_B	2	108.0099	30.3725	0.3597
H_R1H1_2_C	2	104.8714	30.9517	0.3945
H_R1H1_2_D	2	104.3249	30.3851	0.3946
PB_1	2	108.3244	39.7283	0.4410
PB_1_A	2	108.5815	33.6942	0.4498
PB_1_B	2	108.3193	38.2234	0.4450
PB_1_C	2	108.1408	39.9356	0.4361
PB_1_D	2	108.2559	47.0602	0.4332
PB_2	2	93.9904	45.2339	0.4188
PB_3	2	75.9058	45.5870	0.4062
PB_3_A	2	79.8644	45.7958	0.3606
PB_3_B	2	76.3431	45.5608	0.4153
PB_3_C	2	75.6881	45.6446	0.4144
PB_3_D	2	71.7276	45.3467	0.4345
