#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:22.436454Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 3
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2014	23.2189
H_R2H0_P2	124.2146	25.8688
PB_P1	81.9134	10.4854
PB_P2	122.3523	1.0872
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.0976	28.8747	-0.0002
Sensor	1	19.1299	28.0551	-0.0027
Sensor	1	29.1678	27.4025	0.0014
Sensor	1	39.2141	26.9143	0.0040
Sensor	1	49.2683	26.5927	0.0007
Sensor	1	59.3278	26.4379	-0.0005
Sensor	1	69.3880	26.4467	-0.0038
Sensor	1	79.4460	26.6200	-0.0006
Sensor	1	89.4989	26.9614	0.0007
Sensor	1	99.5463	27.4688	0.0002
Sensor	1	109.5863	28.1409	0.0009
Sensor	1	119.6078	28.9785	-0.0002
ABC_R2H0_0	2	120.0087	24.2189	0.3821
ABC_R2H0_0_A	2	124.2127	25.8863	0.3699
ABC_R2H0_0_B	2	124.5067	23.3544	0.3891
ABC_R2H0_0_C	2	115.7283	22.5638	0.3928
ABC_R2H0_0_D	2	115.5871	25.0712	0.3767
ABC_R2H0_1	2	109.9265	23.3560	0.3909
ABC_R2H0_10	2	18.8292	23.2473	0.4032
ABC_R2H0_10_A	2	23.2468	24.1990	0.3896
ABC_R2H0_10_B	2	23.1496	21.6375	0.4091
ABC_R2H0_10_C	2	14.3352	22.3143	0.4135
ABC_R2H0_10_D	2	14.5850	24.8385	0.4005
ABC_R2H0_11	2	8.7121	24.0681	0.4183
ABC_R2H0_11_A	2	13.1477	24.9570	0.4067
ABC_R2H0_11_B	2	12.9958	22.3653	0.4148
ABC_R2H0_11_C	2	4.1983	23.2028	0.4343
ABC_R2H0_11_D	2	4.5065	25.7475	0.4174
ABC_R2H0_1_A	2	114.1510	24.9610	0.3835
ABC_R2H0_1_B	2	114.4104	22.4020	0.3917
ABC_R2H0_1_C	2	105.6142	21.7703	0.4029
ABC_R2H0_1_D	2	105.5302	24.2908	0.3855
ABC_R2H0_2	2	99.8310	22.6802	0.3922
ABC_R2H0_2_A	2	104.0790	24.2128	0.3892
ABC_R2H0_2_B	2	104.2959	21.6396	0.3965
ABC_R2H0_2_C	2	95.4886	21.1497	0.3974
ABC_R2H0_2_D	2	95.4603	23.7188	0.3858
ABC_R2H0_3	2	89.7298	22.1826	0.3956
ABC_R2H0_3_A	2	93.9942	23.6305	0.3848
ABC_R2H0_3_B	2	94.1904	21.0928	0.3991
ABC_R2H0_3_C	2	85.3656	20.7192	0.4053
ABC_R2H0_3_D	2	85.3688	23.2880	0.3933
