#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: x
Date: 2022-08-04T05:19:25.719583Z
Institute: SFU
Operator: x
Instrument Type: Smartscope Flash 302
Run Number: 5
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2029	23.2166
H_R2H0_P2	124.2130	25.8701
PB_P1	81.8919	10.5154
PB_P2	122.3768	1.0974
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1220	28.8732	0.0026
Sensor	1	19.1591	28.0521	-0.0015
Sensor	1	29.1171	27.4084	-0.0030
Sensor	1	39.2445	26.9112	-0.0009
Sensor	1	49.2939	26.5901	0.0019
Sensor	1	59.3462	26.4343	0.0011
Sensor	1	69.3892	26.4464	0.0002
Sensor	1	79.4384	26.6221	-0.0018
Sensor	1	89.4688	26.9655	0.0029
Sensor	1	99.5731	27.4654	-0.0005
Sensor	1	109.5845	28.1415	-0.0012
Sensor	1	119.6585	28.9725	0.0002
ABC_R2H0_0	2	120.0146	24.1915	0.3856
ABC_R2H0_0_A	2	124.2178	25.8588	0.3773
ABC_R2H0_0_B	2	124.5132	23.3273	0.3832
ABC_R2H0_0_C	2	115.7341	22.5359	0.3956
ABC_R2H0_0_D	2	115.5931	25.0442	0.3864
ABC_R2H0_1	2	109.9322	23.3307	0.3894
ABC_R2H0_10	2	18.8352	23.2382	0.4130
ABC_R2H0_10_A	2	23.2531	24.1893	0.3983
ABC_R2H0_10_B	2	23.1542	21.6264	0.4085
ABC_R2H0_10_C	2	14.3424	22.3062	0.4254
ABC_R2H0_10_D	2	14.5912	24.8308	0.4197
ABC_R2H0_11	2	8.7186	24.0609	0.4302
ABC_R2H0_11_A	2	13.1533	24.9498	0.4205
ABC_R2H0_11_B	2	13.0005	22.3555	0.4116
ABC_R2H0_11_C	2	4.2033	23.1966	0.4460
ABC_R2H0_11_D	2	4.5173	25.7418	0.4425
ABC_R2H0_1_A	2	114.1561	24.9348	0.3873
ABC_R2H0_1_B	2	114.4169	22.3747	0.3827
ABC_R2H0_1_C	2	105.6199	21.7435	0.3957
ABC_R2H0_1_D	2	105.5361	24.2697	0.3920
ABC_R2H0_2	2	99.8366	22.6560	0.3904
ABC_R2H0_2_A	2	104.0849	24.1878	0.4001
ABC_R2H0_2_B	2	104.3010	21.6134	0.3880
ABC_R2H0_2_C	2	95.4933	21.1282	0.3881
ABC_R2H0_2_D	2	95.4671	23.6945	0.3853
ABC_R2H0_3	2	89.7349	22.1602	0.3967
ABC_R2H0_3_A	2	94.0002	23.6081	0.3912
ABC_R2H0_3_B	2	94.1958	21.0704	0.3980
ABC_R2H0_3_C	2	85.3704	20.6970	0.3923
ABC_R2H0_3_D	2	85.3732	23.2652	0.4054
ABC_R2H0_4	2	79.6102	21.8062	0.4013
ABC_R2H0_4_A	2	83.9125	23.2025	0.4049
ABC_R2H0_4_B	2	84.0411	20.6007	0.4043
ABC_R2H0_4_C	2	75.2202	20.4271	0.3985
ABC_R2H0_4_D	2	75.2671	22.9943	0.3973
ABC_R2H0_5	2	69.4829	21.6191	0.3994
ABC_R2H0_5_A	2	73.7985	22.9397	0.4021
ABC_R2H0_5_B	2	73.9066	20.3609	0.3939
ABC_R2H0_5_C	2	65.0752	20.3169	0.4003
ABC_R2H0_5_D	2	65.1515	22.8590	0.4012
ABC_R2H0_6	2	59.3590	21.6212	0.3935
ABC_R2H0_6_A	2	63.6996	22.8683	0.3981
ABC_R2H0_6_B	2	63.7593	20.2940	0.3938
ABC_R2H0_6_C	2	54.9286	20.3877	0.3915
ABC_R2H0_6_D	2	55.0485	22.9349	0.3905
ABC_R2H0_7	2	49.2217	21.7635	0.4022
ABC_R2H0_7_A	2	53.5774	22.9449	0.4018
ABC_R2H0_7_B	2	53.5949	20.3467	0.4039
ABC_R2H0_7_C	2	44.7691	20.6114	0.4037
ABC_R2H0_7_D	2	44.9452	23.1510	0.3996
ABC_R2H0_8	2	39.0915	22.0871	0.3968
ABC_R2H0_8_A	2	43.4723	23.1885	0.3967
ABC_R2H0_8_B	2	43.4441	20.6126	0.3924
ABC_R2H0_8_C	2	34.6245	21.0095	0.3943
ABC_R2H0_8_D	2	34.8251	23.5377	0.4039
ABC_R2H0_9	2	28.9678	22.5782	0.4058
ABC_R2H0_9_A	2	33.3661	23.6082	0.4085
ABC_R2H0_9_B	2	33.2859	21.0431	0.4084
ABC_R2H0_9_C	2	24.4843	21.5644	0.4072
ABC_R2H0_9_D	2	24.7352	24.0969	0.3990
HCC_R2H0_2	2	22.6223	6.9985	0.4080
HCC_R2H0_2_A	2	25.4054	9.4131	0.3947
HCC_R2H0_2_B	2	25.7069	4.7920	0.4058
HCC_R2H0_2_C	2	19.7403	4.6558	0.4163
HCC_R2H0_2_D	2	19.6367	9.1331	0.4153
HCC_R2H0_3	2	12.2404	11.5996	0.4125
HCC_R2H0_3_A	2	15.0372	14.0019	0.3980
HCC_R2H0_3_B	2	15.3249	9.3986	0.4214
HCC_R2H0_3_C	2	9.3420	9.2624	0.4208
HCC_R2H0_3_D	2	9.2576	13.7354	0.4098
H_R2H0_0	2	2.9079	10.6195	0.4032
H_R2H0_0_A	2	2.6281	8.2708	0.4113
H_R2H0_0_B	2	2.8678	9.7472	0.4009
H_R2H0_0_C	2	2.9447	10.9841	0.4009
H_R2H0_0_D	2	3.1911	13.4758	0.3998
H_R2H0_1	2	87.5282	12.7976	0.4427
H_R2H0_1_A	2	83.9082	12.6344	0.4408
H_R2H0_1_B	2	87.1475	12.7855	0.4482
H_R2H0_1_C	2	87.9242	12.8122	0.4369
H_R2H0_1_D	2	91.1331	12.9581	0.4450
H_R2H0_2	2	117.8126	16.3673	0.4038
H_R2H0_2_A	2	115.0241	15.9728	0.4092
H_R2H0_2_B	2	115.6296	16.7285	0.3989
H_R2H0_2_C	2	119.9946	16.0008	0.4123
H_R2H0_2_D	2	120.6021	16.7670	0.3949
PB_1	2	123.4786	5.6657	0.4128
PB_1_A	2	123.6032	1.4260	0.4963
PB_1_B	2	123.5964	1.4335	0.4821
PB_1_C	2	123.2710	7.0932	0.4126
PB_1_D	2	123.4438	12.7100	0.2601
PB_2	2	109.6958	11.8179	0.2715
PB_3	2	87.1147	10.4284	0.4767
PB_3_A	2	83.2210	10.1668	0.4793
PB_3_B	2	86.7339	10.4506	0.4985
