#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:24.297554Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 4
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2016	23.2202
H_R2H0_P2	124.2149	25.8687
PB_P1	81.9130	10.4857
PB_P2	122.3609	1.0972
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1010	28.8751	-0.0020
Sensor	1	19.1294	28.0562	0.0001
Sensor	1	29.1669	27.4036	0.0023
Sensor	1	39.2120	26.9152	0.0016
Sensor	1	49.2698	26.5944	0.0009
Sensor	1	59.3279	26.4367	0.0003
Sensor	1	69.3877	26.4465	-0.0044
Sensor	1	79.4444	26.6207	-0.0010
Sensor	1	89.4981	26.9620	0.0009
Sensor	1	99.5457	27.4684	-0.0003
Sensor	1	109.5830	28.1411	0.0025
Sensor	1	119.6095	28.9784	-0.0010
ABC_R2H0_0	2	120.0051	24.2011	0.3849
ABC_R2H0_0_A	2	124.2098	25.8676	0.3753
ABC_R2H0_0_B	2	124.5032	23.3386	0.3891
ABC_R2H0_0_C	2	115.7234	22.5470	0.3964
ABC_R2H0_0_D	2	115.5839	25.0513	0.3789
ABC_R2H0_1	2	109.9214	23.3406	0.3898
ABC_R2H0_10	2	18.8263	23.2475	0.4021
ABC_R2H0_10_A	2	23.2443	24.1987	0.3975
ABC_R2H0_10_B	2	23.1463	21.6364	0.4058
ABC_R2H0_10_C	2	14.3312	22.3157	0.4082
ABC_R2H0_10_D	2	14.5832	24.8391	0.3968
ABC_R2H0_11	2	8.7081	24.0705	0.4119
ABC_R2H0_11_A	2	13.1454	24.9589	0.4019
ABC_R2H0_11_B	2	12.9913	22.3672	0.4128
ABC_R2H0_11_C	2	4.1933	23.2055	0.4226
ABC_R2H0_11_D	2	4.5026	25.7503	0.4104
ABC_R2H0_1_A	2	114.1457	24.9448	0.3877
ABC_R2H0_1_B	2	114.4057	22.3856	0.3948
