#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:20.759741Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2027	23.2192
H_R2H0_P2	124.2158	25.8684
PB_P1	81.9123	10.4854
PB_P2	122.3611	1.0990
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.0994	28.8752	-0.0034
Sensor	1	19.1285	28.0555	0.0030
Sensor	1	29.1661	27.4016	0.0004
Sensor	1	39.2115	26.9151	0.0014
Sensor	1	49.2689	26.5930	0.0006
Sensor	1	59.3285	26.4359	0.0008
Sensor	1	69.3872	26.4467	-0.0018
Sensor	1	79.4447	26.6214	0.0001
Sensor	1	89.4989	26.9607	-0.0022
Sensor	1	99.5473	27.4694	-0.0005
Sensor	1	109.5834	28.1398	0.0001
Sensor	1	119.6073	28.9776	0.0015
ABC_R2H0_0	2	120.0155	24.2127	0.3743
ABC_R2H0_0_A	2	124.2196	25.8794	0.3646
ABC_R2H0_0_B	2	124.5131	23.3472	0.3763
ABC_R2H0_0_C	2	115.7346	22.5576	0.3821
ABC_R2H0_0_D	2	115.5945	25.0664	0.3743
ABC_R2H0_1	2	109.9326	23.3512	0.3944
ABC_R2H0_10	2	18.8360	23.2562	0.4028
ABC_R2H0_10_A	2	23.2542	24.2069	0.3968
ABC_R2H0_10_B	2	23.1543	21.6459	0.3980
ABC_R2H0_10_C	2	14.3431	22.3235	0.4169
ABC_R2H0_10_D	2	14.5922	24.8484	0.3994
ABC_R2H0_11	2	8.7187	24.0786	0.4210
ABC_R2H0_11_A	2	13.1545	24.9667	0.4120
ABC_R2H0_11_B	2	13.0013	22.3736	0.4166
ABC_R2H0_11_C	2	4.2050	23.2135	0.4343
ABC_R2H0_11_D	2	4.5141	25.7605	0.4208
ABC_R2H0_1_A	2	114.1581	24.9548	0.3889
ABC_R2H0_1_B	2	114.4163	22.3968	0.3983
ABC_R2H0_1_C	2	105.6200	21.7639	0.4050
ABC_R2H0_1_D	2	105.5359	24.2892	0.3855
ABC_R2H0_2	2	99.8363	22.6759	0.3960
ABC_R2H0_2_A	2	104.0846	24.2084	0.3902
ABC_R2H0_2_B	2	104.3016	21.6341	0.3994
ABC_R2H0_2_C	2	95.4929	21.1485	0.4040
ABC_R2H0_2_D	2	95.4663	23.7123	0.3904
ABC_R2H0_3	2	89.7361	22.1813	0.3979
ABC_R2H0_3_A	2	94.0006	23.6291	0.3921
ABC_R2H0_3_B	2	94.1971	21.0911	0.4017
ABC_R2H0_3_C	2	85.3722	20.7178	0.4067
ABC_R2H0_3_D	2	85.3747	23.2871	0.3910
ABC_R2H0_4	2	79.6106	21.8272	0.3955
ABC_R2H0_4_A	2	83.9141	23.2223	0.3936
ABC_R2H0_4_B	2	84.0414	20.6227	0.4038
ABC_R2H0_4_C	2	75.2201	20.4488	0.3958
ABC_R2H0_4_D	2	75.2669	23.0150	0.3889
ABC_R2H0_5	2	69.4832	21.6380	0.3988
ABC_R2H0_5_A	2	73.7978	22.9592	0.3955
ABC_R2H0_5_B	2	73.9071	20.3807	0.4101
ABC_R2H0_5_C	2	65.0757	20.3361	0.4049
ABC_R2H0_5_D	2	65.1524	22.8760	0.3848
ABC_R2H0_6	2	59.3591	21.6395	0.3950
ABC_R2H0_6_A	2	63.7013	22.8878	0.3837
ABC_R2H0_6_B	2	63.7584	20.3120	0.3969
ABC_R2H0_6_C	2	54.9288	20.4062	0.4053
ABC_R2H0_6_D	2	55.0480	22.9520	0.3940
ABC_R2H0_7	2	49.2231	21.7828	0.3997
ABC_R2H0_7_A	2	53.5789	22.9637	0.3934
ABC_R2H0_7_B	2	53.5959	20.3671	0.4021
ABC_R2H0_7_C	2	44.7715	20.6301	0.4068
ABC_R2H0_7_D	2	44.9460	23.1703	0.3963
ABC_R2H0_8	2	39.0914	22.1059	0.4042
ABC_R2H0_8_A	2	43.4715	23.2074	0.4037
ABC_R2H0_8_B	2	43.4423	20.6312	0.4090
ABC_R2H0_8_C	2	34.6247	21.0278	0.4107
ABC_R2H0_8_D	2	34.8271	23.5571	0.3937
ABC_R2H0_9	2	28.9663	22.5967	0.4041
ABC_R2H0_9_A	2	33.3667	23.6261	0.4017
ABC_R2H0_9_B	2	33.2860	21.0622	0.4095
ABC_R2H0_9_C	2	24.4807	21.5833	0.4090
ABC_R2H0_9_D	2	24.7318	24.1151	0.3960
HCC_R2H0_2	2	22.6249	7.0177	0.4600
HCC_R2H0_2_A	2	25.4101	9.4318	0.4406
HCC_R2H0_2_B	2	25.7107	4.8104	0.4638
HCC_R2H0_2_C	2	19.7406	4.6743	0.4809
HCC_R2H0_2_D	2	19.6381	9.1541	0.4548
HCC_R2H0_3	2	12.2419	11.6158	0.4508
HCC_R2H0_3_A	2	15.0392	14.0182	0.4359
HCC_R2H0_3_B	2	15.3266	9.4138	0.4571
HCC_R2H0_3_C	2	9.3431	9.2798	0.4678
HCC_R2H0_3_D	2	9.2587	13.7514	0.4424
H_R2H0_0	2	2.9086	10.6305	0.4511
H_R2H0_0_A	2	2.6290	8.2667	0.4702
H_R2H0_0_B	2	2.8682	9.7636	0.4598
H_R2H0_0_C	2	2.9454	11.0017	0.4431
H_R2H0_0_D	2	3.1919	13.4902	0.4312
H_R2H0_1	2	87.5297	12.8180	0.4784
H_R2H0_1_A	2	83.9121	12.6555	0.4767
H_R2H0_1_B	2	87.1483	12.8048	0.4839
H_R2H0_1_C	2	87.9245	12.8326	0.4823
H_R2H0_1_D	2	91.1341	12.9792	0.4708
H_R2H0_2	2	117.8123	16.3876	0.4305
H_R2H0_2_A	2	115.0250	15.9914	0.4401
H_R2H0_2_B	2	115.6297	16.7485	0.4239
H_R2H0_2_C	2	119.9938	16.0232	0.4319
H_R2H0_2_D	2	120.6005	16.7872	0.4262
PB_1	2	123.4407	6.6484	0.4529
PB_1_A	2	123.5970	1.4246	0.5635
PB_1_B	2	123.4661	5.3636	0.4892
PB_1_C	2	123.2639	7.0953	0.4537
PB_1_D	2	123.4355	12.7099	0.3051
PB_2	2	109.6699	11.8190	0.3093
PB_3	2	87.1068	10.4246	0.5177
PB_3_A	2	83.2143	10.1621	0.5232
PB_3_B	2	86.7259	10.4463	0.5310
PB_3_C	2	87.6809	10.4828	0.5334
PB_3_D	2	90.8061	10.6074	0.4834
PB_4	2	85.8749	1.3771	0.6195
PB_4_A	2	86.9762	3.9480	0.5927
PB_4_B	2	87.4112	-1.0222	0.6245
PB_4_C	2	84.6662	-1.1967	0.6359
PB_4_D	2	84.4459	3.7794	0.6247
PB_5	2	60.2930	2.8808	0.5668
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1114	5.7760	2.9555
C2	4	117.8792	9.2521	2.8869
C3	4	104.0023	10.0087	2.9365
C4	4	104.4895	1.4803	3.0503
Shield_A	4	63.1682	-1.4236	5.7362
Shield_B	4	68.5400	-0.9591	5.6946
Shield_C	4	76.5599	-0.8421	5.7705
Shield_D	4	63.0885	5.5365	5.6491
Shield_E	4	72.1018	5.7195	5.4803
Shield_F	4	76.5983	5.2755	5.5983
