#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-09-01T23:12:17.754963Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 09011
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
PB_3_B	2	86.7246	10.4472	0.4115
PB_3_C	2	87.6798	10.4820	0.4051
PB_3_D	2	90.8042	10.6063	0.3627
PB_4	2	85.8724	1.3774	0.4302
PB_4_A	2	86.9737	3.9494	0.4183
PB_4_B	2	87.4092	-1.0223	0.4174
PB_4_C	2	84.6637	-1.1977	0.4309
PB_4_D	2	84.4431	3.7805	0.4540
PB_5	2	60.2908	2.8790	0.4032
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1089	5.7756	2.7825
C2	4	117.8788	9.2497	2.7389
C3	4	104.0003	10.0085	2.8015
C4	4	104.4871	1.4795	2.8521
Shield_A	4	63.1641	-1.4236	5.5290
Shield_B	4	68.5384	-0.9599	5.4930
Shield_C	4	76.5582	-0.8408	5.5631
Shield_D	4	63.0871	5.5365	5.4960
Shield_E	4	72.1009	5.7191	5.3206
Shield_F	4	76.5965	5.2755	5.4364
